course_name,course_skill_category,alignment_label,top_k_average_similarity,best_similarity,best_match_overall_industry_competency,best_match_overall_similarity,matched_industry_competencies_count,top_k_matched_industry_competencies,top_k_matched_similarities,matched_domain_ids
Kewirausahaan Berbasis Teknologi,Hard,Aligned,0.6135,0.6238,merancang panduan diskusi untuk memastikan panduan tersebut menghasilkan temuan yang bermakna dan dapat ditindaklanjuti design discussion guides to ensure they prompt meaningful findings and are actionable,0.6238,5,"merancang panduan diskusi untuk memastikan panduan tersebut menghasilkan temuan yang bermakna dan dapat ditindaklanjuti design discussion guides to ensure they prompt meaningful findings and are actionable | mampu memahami logika desain proses dan menunjukkan pemikiran inovatif able to understand process design logic and demonstrate innovative thinking | seorang pemikir kreatif dengan kemampuan menerjemahkan ide kurikulum abstrak menjadi visual yang menarik. a creative thinker with the ability to translate abstract curriculum ideas into engaging visuals. | membantu guru dalam melakukan percobaan, jika diinstruksikan. assist teachers in conducting experiments, if instructed. | berorientasi pada detail dan mau belajar. detail-oriented and willing to learn.",0.6238 | 0.6235 | 0.6088 | 0.6058 | 0.6054,72 | 80 | 106 | 72 | 72
E Business dan Pemrograman Berbasis Web,Hard,Aligned,0.6581,0.6726,memahami dan menguasai dasar-dasar pengembangan aplikasi web. understand and master the basics of web application development.,0.6726,5,memahami dan menguasai dasar-dasar pengembangan aplikasi web. understand and master the basics of web application development. | kursus pemrograman komputer computer programming courses | memahami konsep dasar pemrograman understand basic programming concepts | mempelajari dan menerapkan pengetahuan mereka tentang cara merancang produk perangkat lunak (seluler atau situs web). learn and apply their knowledge on how to design the software (mobile or website) product. | kursus pengembangan web web development courses,0.6726 | 0.6648 | 0.6526 | 0.6504 | 0.65,71 | 106 | 106 | 101 | 102
Rekayasa Perangkat Lunak,Hard,Aligned,0.7048,0.7328,memahami konsep rekayasa perangkat lunak. understand the concept of software engineering.,0.7328,5,memahami konsep rekayasa perangkat lunak. understand the concept of software engineering. | memahami konsep dasar pemrograman understand basic programming concepts | pemahaman dasar konsep pemrograman (pelatihan diberikan) basic understanding of programming concepts (training provided) | mempelajari dan menerapkan pengetahuan mereka tentang cara merancang produk perangkat lunak (seluler atau situs web). learn and apply their knowledge on how to design the software (mobile or website) product. | pemahaman yang baik tentang konsep rekayasa perangkat lunak. good understanding of software engineering concepts.,0.7328 | 0.7033 | 0.6974 | 0.6969 | 0.6934,163 | 106 | 106 | 101 | 163
Magang,Hard,Not Aligned,0.5969,0.6237,berorientasi pada detail dan mau belajar. detail-oriented and willing to learn.,0.6237,5,berorientasi pada detail dan mau belajar. detail-oriented and willing to learn. | memahami dasar understand the basics | program ini bertujuan untuk memberikan kesempatan kepada mahasiswa dalam This program aims to provide opportunities for students in | pengalaman membuat laporan rinci dan memberikan presentasi experience creating detailed reports and giving presentations | pengalaman membuat laporan rinci dan memberikan presentasi. experience creating detailed reports and giving presentations.,0.6237 | 0.6195 | 0.6067 | 0.5696 | 0.565,72 | 58 | 106 | 31 | 31
Etika Profesi dan Hak Kekayaan Intelektual,Hard,Not Aligned,0.5372,0.6521,"ketelitian & etika penelitian: menunjukkan keahlian dalam merancang dan mengelola proyek penelitian (studi kuantitatif, kualitatif, epidemiologi, atau klinis) dengan ketelitian metodologis dan kepatuhan etika penuh. research rigor & ethics: demonstrated expertise in designing and managing research projects (quantitative, qualitative, epidemiological, or clinical studies) with methodological rigor and full ethical compliance.",0.6521,5,"ketelitian & etika penelitian: menunjukkan keahlian dalam merancang dan mengelola proyek penelitian (studi kuantitatif, kualitatif, epidemiologi, atau klinis) dengan ketelitian metodologis dan kepatuhan etika penuh. research rigor & ethics: demonstrated expertise in designing and managing research projects (quantitative, qualitative, epidemiological, or clinical studies) with methodological rigor and full ethical compliance. | peretasan etis. ethical hacking. | etika tempat kerja workplace ethics | mahasiswa akhir teknologi informasi, sistem informasi, ilmu komputer, atau bidang terkait final student information technology, information system, computer science, or related field | pendidikan sarjana di bidang teknologi informasi, sistem informasi, teknik komputer, atau bidang terkait. undergraduate education in information technology, information systems, computer engineering, or related field.",0.6521 | 0.5266 | 0.5163 | 0.4963 | 0.4946,54 | 122 | 106 | 106 | 106
Sirkuit Elektronik,Hard,Not Aligned,0.5688,0.5806,memahami dasar mekanik dan elektrikal understand basic mechanics and electrical,0.5806,5,memahami dasar mekanik dan elektrikal understand basic mechanics and electrical | menguasai teknik kelistrikan dan prinsip-prinsip ketenagalistrikan proficiency in electrical engineering and electricity principles | memahami konsep kelistrikan understand electrical concepts | memahami rangkaian dasar listrik mesin understand the basic electrical circuits of machines | menulis dokumentasi teknis dan unit test. wrote technical documentation and unit tests.,0.5806 | 0.5745 | 0.5731 | 0.5642 | 0.5516,82 | 27 | 82 | 58 | 140
Matematika Diskrit,Hard,Aligned,0.6225,0.6649,"kelancaran dalam mengembangkan dan memahami diagram urutan, model kelas, dll. fluency in developing and understanding sequence diagrams, class models, etc.",0.6649,5,"kelancaran dalam mengembangkan dan memahami diagram urutan, model kelas, dll. fluency in developing and understanding sequence diagrams, class models, etc. | memahami konsep dasar pemrograman understand basic programming concepts | logika pemrograman yang baik dan perhatian terhadap detail good programming logic and attention to detail | ⁠ ⁠teliti, detail-oriented, dan memiliki kemampuan menyusun cerita dengan logika yang runtut. ⁠ ⁠thorough, detail-oriented, and has the ability to compose stories with coherent logic. | pemahaman dasar logika pemrograman untuk berkolaborasi dengan tim teknik basic understanding of programming logic to collaborate with engineering teams",0.6649 | 0.6213 | 0.6159 | 0.6095 | 0.601,58 | 106 | 106 | 31 | 106
Konsep Sistem Informasi,Hard,Aligned,0.6149,0.6371,"memastikan basis pengetahuan, pedoman, dan buku pegangan terkini. ensure knowledge base, sops, and handbooks are current.",0.6371,5,"memastikan basis pengetahuan, pedoman, dan buku pegangan terkini. ensure knowledge base, sops, and handbooks are current. | memiliki pengetahuan dasar paradigma pemrograman (pemrograman terstruktur/berorientasi objek) having basic knowledge of programming paradigm (structured / object oriented programming) | di dalamnya disiplin ilmu. in it disciplines. | memberikan pelatihan pengetahuan it kepada user pengguna provide IT knowledge training to users | berkontribusi pada pelatihan dan panduan pengguna mengenai alat TI dasar dan praktik terbaik seiring berkembangnya peran tersebut contribute to user training and guidance on basic it tools and best practices as the role evolves",0.6371 | 0.622 | 0.6198 | 0.6033 | 0.5922,176 | 191 | 72 | 176 | 106
Pengantar Teknologi Informasi,Hard,Aligned,0.6934,0.6963,mahasiswa aktif informatika / sistem informasi / ilmu komputer Active student of informatics / information systems / computer science,0.6963,5,"mahasiswa aktif informatika / sistem informasi / ilmu komputer Active student of informatics / information systems / computer science | memahami basic it infrastruktur, software & hardware understand basic IT infrastructure, software & hardware | memahami dasar understand the basics | mahasiswa akhir teknologi informasi, sistem informasi, ilmu komputer, atau bidang terkait final student information technology, information system, computer science, or related field | mencari informasi untuk mempelajari tentang metodologi dan teknologi yang muncul seeking out information to learn about emerging methodologies and technologies",0.6963 | 0.6958 | 0.6921 | 0.6917 | 0.6912,106 | 67 | 58 | 106 | 176
Struktur Data,Hard,Not Aligned,0.5819,0.6277,"kelancaran dalam mengembangkan dan memahami diagram urutan, model kelas, dll. fluency in developing and understanding sequence diagrams, class models, etc.",0.6277,5,"kelancaran dalam mengembangkan dan memahami diagram urutan, model kelas, dll. fluency in developing and understanding sequence diagrams, class models, etc. | kursus pemrograman komputer computer programming courses | membuat dokumen terkait proyek (skenario pengujian, panduan pengguna, materi pelatihan, dll.). create project-related documents (testing scenario, user manual, training materials, etc.). | menerapkan operasi dasar/alat pemrograman, visualisasi data, dan ilmu data implement basic operations/tools of programming, data visualization, and data science | berkontribusi pada dokumentasi prosesnya, panduan pengguna, dan prosedur pemecahan masalah contribute to documentation of it processes, user guides, and troubleshooting procedures",0.6277 | 0.6264 | 0.5641 | 0.5481 | 0.543,58 | 106 | 181 | 138 | 127
Sistem Digital,Hard,Aligned,0.6116,0.6696,"digital systems dasar sistem digital, logika, dan rangkaian logika (gerbang, flip-flop, dll). digital systems basic digital systems, logic, and logic circuits (gates, flip-flops, etc.).",0.6696,5,"digital systems dasar sistem digital, logika, dan rangkaian logika (gerbang, flip-flop, dll). digital systems basic digital systems, logic, and logic circuits (gates, flip-flops, etc.). | kursus pemrograman komputer computer programming courses | mampu memahami logika desain proses dan menunjukkan pemikiran inovatif able to understand process design logic and demonstrate innovative thinking | mampu memberikan dukungan teknis untuk kegiatan studio dan kursus desain digital capable of providing technical support for studio activities and digital design courses | memiliki pengetahuan dasar tentang keterampilan pengkodean dan ilmu komputer dasar have a basic knowledge of coding skills and the fundamental computer science",0.6696 | 0.6255 | 0.5893 | 0.5877 | 0.586,173 | 106 | 80 | 173 | 105
Sistem Basis Data Lanjut,Hard,Aligned,0.7253,0.7438,"memiliki pemahaman dasar mengenai database, sql, dan konsep pemrograman. have a basic understanding of databases, SQL, and programming concepts.",0.7438,5,"memiliki pemahaman dasar mengenai database, sql, dan konsep pemrograman. have a basic understanding of databases, SQL, and programming concepts. | pemahaman konsep dasar database (query sql sederhana). understanding of basic database concepts (simple sql queries). | pemahaman yang kuat tentang sistem database, baik relasional dan nosql. solid understanding of database systems, both relational and nosql. | dapat memahami struktur database dan query dasar sql Can understand database structure and basic SQL queries | memahami konsep database relasional (mysql, postgresql, atau sejenis). understand relational database concepts (mysql, postgresql, or similar).",0.7438 | 0.7379 | 0.7192 | 0.7141 | 0.7115,110 | 110 | 100 | 112 | 107
Sistem Operasi,Hard,Aligned,0.7101,0.7466,"memahami sistem operasi, software , dan perangkat keras komputer. understand operating systems, software and computer hardware.",0.7466,5,"memahami sistem operasi, software , dan perangkat keras komputer. understand operating systems, software and computer hardware. | memiliki pemahaman dasar hardware, software, dan layanan it Have a basic understanding of hardware, software and IT services | pemahaman yang kuat tentang perangkat lunak dan sistem perangkat keras laboratorium komputer strong understanding of computer laboratory software and hardware systems | pemahaman dasar tentang perangkat keras komputer, perangkat lunak, dan jaringan basic understanding of computer hardware, software, and networking | pemahaman dasar tentang sistem komputer, jaringan, dan aplikasi perangkat lunak basic understanding of computer systems, networks, and software applications",0.7466 | 0.7132 | 0.709 | 0.6915 | 0.69,158 | 158 | 158 | 164 | 191
Data Communication,Hard,Aligned,0.6038,0.6197,"menerapkan operasi dasar/alat pemrograman, visualisasi data, dan ilmu data implement basic operations/tools of programming, data visualization, and data science",0.6197,5,"menerapkan operasi dasar/alat pemrograman, visualisasi data, dan ilmu data implement basic operations/tools of programming, data visualization, and data science | mahasiswa akhir teknologi informasi, sistem informasi, ilmu komputer, atau bidang terkait final student information technology, information system, computer science, or related field | membuat dan menyebarkan kursus online, termasuk pengunggahan konten, pembuatan modul kursus, dan penyediaan alat penilaian (kuis, ujian, tugas). create and deploy online courses, including content uploads, course module creation, and providing assessment tools (quizzes, exams, assignments). | kursus pemrograman komputer computer programming courses | pemahaman tentang arsitektur data, desain perangkat lunak, dan praktik pengkodean terbaik. understanding of data architecture, software design and best coding practices.",0.6197 | 0.6162 | 0.6005 | 0.5935 | 0.5889,138 | 106 | 106 | 106 | 107
Proses Sinyal Dijital,Hard,Not Aligned,0.4588,0.4879,kemampuan untuk mendokumentasikan dan memecahkan masalah kesalahan ability to document and troubleshoot errors,0.4879,5,"kemampuan untuk mendokumentasikan dan memecahkan masalah kesalahan ability to document and troubleshoot errors | berkontribusi pada dokumentasi prosesnya, panduan pengguna, dan prosedur pemecahan masalah contribute to documentation of it processes, user guides, and troubleshooting procedures | saran masukan pemecahan masalah yang terjadi pada pengembangan sistem aplikasi advice trouble shooting input occurred in the system development application | · berkontribusi pada dokumentasi prosesnya, panduan pengguna, dan prosedur pemecahan masalah · contribute to documentation of it processes, user guides, and troubleshooting procedures | mencatat bahan yang dipinjam oleh guru dan siswa keeping track of materials borrowed by teachers and students",0.4879 | 0.459 | 0.4541 | 0.4536 | 0.4391,82 | 127 | 71 | 188 | 72
Arsitektur dan Organisasi Komputer,Hard,Not Aligned,0.556,0.6217,"pengetahuan tentang arsitektur perangkat keras komputer, karakteristik, pemecahan masalah, dan teknik perbaikan knowledge of computer hardware architecture, characteristics, troubleshooting, and repair techniques",0.6217,5,"pengetahuan tentang arsitektur perangkat keras komputer, karakteristik, pemecahan masalah, dan teknik perbaikan knowledge of computer hardware architecture, characteristics, troubleshooting, and repair techniques | mendiagnosis dan memecahkan kesalahan perangkat lunak dan perangkat keras komputer diagnose and solve computer software and hardware faults | kursus pemrograman komputer computer programming courses | · berkontribusi pada dokumentasi prosesnya, panduan pengguna, dan prosedur pemecahan masalah · contribute to documentation of it processes, user guides, and troubleshooting procedures | menguasai troubleshooting hardware, software, dan jaringan dasar. master basic hardware, software and network troubleshooting.",0.6217 | 0.5637 | 0.5341 | 0.5314 | 0.5291,5 | 158 | 106 | 188 | 15
Informatika Sosial,Hard,Not Aligned,0.554,0.5902,"mahasiswa akhir teknologi informasi, sistem informasi, ilmu komputer, atau bidang terkait final student information technology, information system, computer science, or related field",0.5902,5,"mahasiswa akhir teknologi informasi, sistem informasi, ilmu komputer, atau bidang terkait final student information technology, information system, computer science, or related field | mahasiswa aktif informatika / sistem informasi / ilmu komputer Active student of informatics / information systems / computer science | pemahaman tentang kebutuhan dan karakteristik akademik, sosial dan perilaku siswa tingkat tinggi. understanding of academic, social and behavioral needs and characteristics of high level student. | pendidikan sarjana di bidang teknologi informasi, sistem informasi, teknik komputer, atau bidang terkait. undergraduate education in information technology, information systems, computer engineering, or related field. | membuat dan menyebarkan kursus online, termasuk pengunggahan konten, pembuatan modul kursus, dan penyediaan alat penilaian (kuis, ujian, tugas). create and deploy online courses, including content uploads, course module creation, and providing assessment tools (quizzes, exams, assignments).",0.5902 | 0.5568 | 0.5534 | 0.5379 | 0.5318,106 | 106 | 106 | 106 | 106
Leadership and Management for IT Engineer,Hard,Aligned,0.6335,0.6712,memahami kepemimpinan proyek understand project leadership,0.6712,5,"memahami kepemimpinan proyek understand project leadership | kepemimpinan & bimbingan: kemampuan untuk membimbing staf junior atau pekerja magang, menumbuhkan budaya praktik berbasis bukti dan pemecahan masalah secara proaktif. leadership & mentorship: ability to mentor junior staff or interns, fostering a culture of evidence-based practice and proactive problem-solving. | pelatihan, bimbingan, dan peran kepemimpinan proyek. training, mentorship, and project leadership roles. | menentukan ruang lingkup proyek, tujuan, dan kriteria keberhasilan. define project scope, objectives, and success criteria. | kepemimpinan & pelaksanaan proyek: mengambil kepemilikan dalam memobilisasi sumber daya internal, mengelola pemangku kepentingan, dan memimpin tim lintas fungsi untuk melaksanakan proyek digitalisasi berdampak tinggi tepat waktu dan sesuai anggaran. project leadership & delivery: take ownership of mobilizing internal resources,managing stakeholders,and leading cross- functional teams to deliver high- impact digitalization projects on time and within budget.",0.6712 | 0.6585 | 0.6435 | 0.6079 | 0.5865,33 | 33 | 106 | 106 | 144
Routing Protocols and Concepts,Hard,Aligned,0.653,0.7071,"berpengetahuan luas dalam routing, switching, dan jaringan dasar knowledgeable in routing, switching, and basic network",0.7071,5,"berpengetahuan luas dalam routing, switching, dan jaringan dasar knowledgeable in routing, switching, and basic network | memiliki pemahaman kuat konsep routing & switching protocol. have a strong understanding of routing & switching protocol concepts. | memahami teknik jaringan (tcp/ip, routing & switch, jaringan nirkabel, jaringan bridging, keamanan, f5, fortigate, aruba) understand network engineering (tcp/ip, routing & switch, wireless network, bridging network, security, f5, fortigate, aruba) | pemahaman yang kuat tentang routing/switching, firewall, teknologi vpn, dan sistem nirkabel. strong understanding of routing/switching, firewalls, vpn technologies, and wireless systems. | pemahaman dasar tentang perangkat jaringan (switch, router, access point) basic understanding of network devices (switches, routers, access points)",0.7071 | 0.6597 | 0.6463 | 0.6291 | 0.6228,191 | 102 | 191 | 102 | 152
Pengantar Intelejensi Artifisial,Hard,Aligned,0.6037,0.6143,"akrab dengan ai, visi komputer, konsep pembelajaran mesin, dan pemecahan masalah dasar. familiar with ai, computer vision, machine learning concepts, and basic troubleshooting.",0.6143,5,"akrab dengan ai, visi komputer, konsep pembelajaran mesin, dan pemecahan masalah dasar. familiar with ai, computer vision, machine learning concepts, and basic troubleshooting. | memiliki pengetahuan dasar tentang pembelajaran mesin dan analisis data having basic knowledge of machine learning and data analysis | - memiliki pemahaman troubleshooting perangkat & software, serta pengetahuan dasar jaringan - have an understanding of device & software troubleshooting, as well as basic network knowledge | mahasiswa aktif informatika / sistem informasi / ilmu komputer Active student of informatics / information systems / computer science | memahami dan menerapkan pengetahuan dalam ilmu data dan rekayasa perangkat lunak untuk menciptakan aplikasi AI yang efektif. understanding and applying knowledge in data science and software engineering to create effective ai applications.",0.6143 | 0.6058 | 0.6033 | 0.6027 | 0.5922,104 | 104 | 15 | 106 | 112
Pemodelan dan Simulasi Jaringan,Hard,Aligned,0.6118,0.6331,"pemahaman dasar tentang perangkat keras komputer, perangkat lunak, dan jaringan basic understanding of computer hardware, software, and networking",0.6331,5,"pemahaman dasar tentang perangkat keras komputer, perangkat lunak, dan jaringan basic understanding of computer hardware, software, and networking | pemahaman dasar tentang sistem komputer, jaringan, dan aplikasi perangkat lunak basic understanding of computer systems, networks, and software applications | memiliki pengetahuan dasar dalam jaringan computer. Have basic knowledge in computer networks. | pemahaman yang baik tentang dasar-dasar ilmu komputer, termasuk namun tidak terbatas pada algoritma, struktur data, jaringan. good understanding of computer science fundamentals, including but not limited to algorithm, data structure, network. | melakukan pembuktian konsep untuk solusi jaringan. conduct proof of concept for network solutions.",0.6331 | 0.6234 | 0.6082 | 0.5989 | 0.5956,164 | 191 | 191 | 100 | 191
Komunikasi Nirkabel,Hard,Not Aligned,0.5761,0.5896,"memahami teknik jaringan (tcp/ip, routing & switch, jaringan nirkabel, jaringan bridging, keamanan, f5, fortigate, aruba) understand network engineering (tcp/ip, routing & switch, wireless network, bridging network, security, f5, fortigate, aruba)",0.5896,5,"memahami teknik jaringan (tcp/ip, routing & switch, jaringan nirkabel, jaringan bridging, keamanan, f5, fortigate, aruba) understand network engineering (tcp/ip, routing & switch, wireless network, bridging network, security, f5, fortigate, aruba) | membuat dan menyebarkan kursus online, termasuk pengunggahan konten, pembuatan modul kursus, dan penyediaan alat penilaian (kuis, ujian, tugas). create and deploy online courses, including content uploads, course module creation, and providing assessment tools (quizzes, exams, assignments). | pengetahuan tentang konsep perangkat keras dan perangkat lunak nirkabel knowledge of wireless hardware and software concepts | memahami konsep telekomunikasi (terutama sistem telekomunikasi satelit/vsat) understand telecommunications concepts (especially satellite/vsat telecommunications systems) | keterampilan komunikasi yang sangat baik, mampu menjelaskan detail teknis dengan jelas kepada pemangku kepentingan non-teknis. excellent communication skills, able to explain technical details clearly to non-technical stakeholders.",0.5896 | 0.5769 | 0.5763 | 0.5713 | 0.5663,191 | 106 | 164 | 27 | 106
Sistem Terdistribusi,Hard,Not Aligned,0.5691,0.5785,kursus pemrograman komputer computer programming courses,0.5785,5,kursus pemrograman komputer computer programming courses | beberapa kemahiran dengan infrastruktur dan penerapan berbasis cloud. some proficiency with cloud-based infrastructure and deployments. | beberapa kemahiran dengan infrastruktur dan penerapan berbasis cloud. some proficiency with cloud -based infrastructure and deployments. | kursus pengembangan web web development courses | pengalaman langsung tentang administrasi infrastruktur cloud aws hands-on experience on aws cloud infrastructure administration,0.5785 | 0.5717 | 0.5708 | 0.5687 | 0.5557,106 | 186 | 186 | 102 | 186
